Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Getting Started as an Agile Project Manager,"Deliver projects with the highest level of performance and quality as an agile project manager. This path will help you build a solid foundation in leading and motivating agile project teams, from developing user stories and agile charts to driving productive meetings.",Learning Path,2019-05-10 10:36 UTC,N/A,false,N/A,
Jeff Dyer on Innovation,"Innovators are often creative people. But to take a clever idea and actually make it a marketable product requires a bit more than mere invention. In this course, join thought leader and innovation expert Jeff Dyer as he shares his insights on developing the key skills that lead to innovative capabilities, and explains how to apply those skills to accomplish repeated innovation. Jeff discusses behaviors and techniques that can help you generate creative ideas, as well as a method for bringing your ideas to the marketplace.",Course,2020-02-10 14:36 UTC,N/A,false,N/A,
Agentic AI: Building Data-First AI Agents,"In this course, Senior Staff Instructor Morten Rand-Hendriksen and Microsoft Director of Data & AI Strategy Viroopax Mirji analyze the data challenges enterprises face when building AI agents. The course examines data quality, privacy, integration, and bias, with real-world examples from industries like healthcare and autonomous vehicles. The conversation covers best practices for data management, governance, and transitioning to an AI-driven future, ensuring transparency and accountability in AI systems.",Course,2025-07-30 21:37 UTC,N/A,false,N/A,
Communicating with Confidence (2015),"Most people are afraid of speaking in public, but effective oral communication is a key skill in business. Jeff Ansell provides simple communication tools, strategies, and tips that are easy to use and produce immediate results. He'll help you sound more confident, use body and language to better express ideas, and overcome anxiety. In the last chapter of the course, all these concepts are brought together in two real-world coaching exercises that will help you see the techniques in action.",Course,2019-05-10 10:29 UTC,N/A,false,N/A,
Amazon Web Services: Data Services,"Why use Amazon Web Services for data storage? AWS provides big data services at a small cost, offering one of the most full-featured and scalable solution sets around. Start here to explore your storage and framework options when working with data services on the Amazon cloud. Your guide, Lynn Langit, a working big data architect, helps you navigate the options when it comes to file storage, relational and NoSQL data storage, data warehousing, graph and ledger databases, and data lakes. Plus, learn how to run open-source processing tools such as Hadoop and Spark on AWS and leverage new serverless data services, including Athena serverless queries and the auto-scaling version of the Aurora relational database service, Aurora Serverless.",Course,2020-05-18 09:57 UTC,N/A,false,N/A,
SQL Essential Training,"The ubiquity of big data means that now, more than ever, there is a burning need to warehouse, access, and understand the contents of massive databases quickly and efficiently. Attaining proficiency in SQL is essential to prepare for our data-driven present and future. It is also crucial to furthering your skills as a data analyst or application developer. In this course, Walter Shields teaches you: the basic structure of databases—what they are, how they work, and how to successfully navigate them; how to use SQL to retrieve and understand data no matter the scale of a database; and how to master the most important SQL query syntax, along with how and when to use it best.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-11-26 09:09 UTC,N/A,false,N/A,
Creating Maps with R,"If you need to learn more about creating maps with R, this beginner-friendly course introduces an end-to-end mapping workflow and shows you how to import your data directly from Excel to create both static and interactive maps. Instructor Charlie Joey Hadley explains mapping fundamentals, like geo markers, scatter plots, hexbin maps, cartograms, and more. Charlie walks you through processing GIS data from Excel and working with GIS data formats such as raster, vector, sf, and sp. She demonstrates how to create, label, and transform static maps with ggplot2, then dives into building interactive, mobile-ready maps using Leaflet, an HTML widget package for creating interactive maps with R. Plus, Charlie covers base maps and tiles, projections, the Coordinate Reference System (CRS), and more.",Course,2024-07-23 18:56 UTC,N/A,false,N/A,
Data Engineering Project: Build Streaming Ingestion Pipelines for Snowflake with AWS,"As data engineers, it’s difficult to ignore the ever-growing importance and demand for streamed data. In this course, designed uniquely for experienced data professionals looking to modernize their technical skill set, join instructor and data engineer Sagar Suri as he demystifies the process of building streaming ingestion pipelines for the industry-leading lakehouse solution, Snowflake, using popular tools such as Kafka and AWS. Get an overview of data streaming, AWS, and Snowflake to prepare to start building a streaming pipeline on your own. Along the way, learn how to install and set up Snowpipe and Kafka to gather and send data directly into Snowflake.",Course,2025-12-11 12:54 UTC,N/A,false,N/A,
C# Practice: Generic Collections,"Join senior LinkedIn Learning instructor Walt Rischer in this hands-on, interactive, skills-first coding course designed uniquely for intermediate C# developers. Explore generic collections skills in C# to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Walt helps you develop your skills as a C# programmer with six specific, query-focused coding challenges. Practice skills like inserting into List<T>, examining dictionary contents, using a PriorityQueue, using a slice to get a subset, using the ConvertAll method, and performing HashSet operations.",Course,2024-07-01 15:51 UTC,N/A,false,N/A,
Advanced C++: Building Projects with CMake,"This advanced course on CMake for C++ is designed to equip experienced C++ developers with the skills required to build and manage complex projects more effectively. Explore the essentials of CMake from the ground up, gaining hands-on experience with setting up, configuring, and optimizing build environments. Join instructor Károly Nyisztor as he covers everything from integrating third-party libraries to writing cross-platform scripts, with an emphasis on automation and scalability. By the end of this course, you’ll be prepared to use CMake to streamline the build process, improve efficiency, and handle complex project structures in any professional setting.",Course,2025-08-30 05:32 UTC,N/A,false,N/A,
